"Date", "Numbers", "Winners", "Total Payout"
"6/18/2009","688 Midday","2266","$438,510"
"6/18/2009","865 Evening","3778","$438,120"
"6/17/2009","286 Midday","3512","$303,395"
"6/17/2009","879 Evening","3280","$249,540"
"6/16/2009","777 Midday","5294","$1,947,125"
"6/16/2009","863 Evening","2212","$202,705"
"6/15/2009","882 Midday","1248","$174,505"
"6/15/2009","509 Evening","2632","$279,710"
"6/14/2009","878 Midday","861","$150,440"
"6/14/2009","601 Evening","2584","$238,205"
"6/13/2009","634 Midday","1961","$192,425"
"6/13/2009","718 Evening","3748","$501,590"
"6/12/2009","109 Midday","6734","$980,055"
"6/12/2009","523 Evening","3739","$499,090"
"6/11/2009","319 Midday","4324","$702,600"
"6/11/2009","834 Evening","1779","$162,970"
"6/10/2009","226 Midday","2441","$476,550"
"6/10/2009","821 Evening","2751","$252,505"
"6/9/2009","094 Midday","1803","$109,830"
"6/9/2009","198 Evening","2283","$186,980"
"6/8/2009","848 Midday","1214","$217,095"
"6/8/2009","633 Evening","1278","$205,660"
"6/7/2009","183 Midday","3022","$224,115"
"6/7/2009","111 Evening","9312","$3,343,325"
"6/6/2009","216 Midday","3880","$402,605"
"6/6/2009","169 Evening","2867","$285,365"
"6/5/2009","997 Midday","709","$115,865"
"6/5/2009","748 Evening","2752","$300,710"
"6/4/2009","855 Midday","900","$142,725"
"6/4/2009","218 Evening","5153","$612,600"
"6/3/2009","724 Midday","2982","$309,150"
"6/3/2009","302 Evening","4167","$466,770"
"6/2/2009","930 Midday","1844","$161,020"
"6/2/2009","897 Evening","3035","$237,305"
"6/1/2009","520 Midday","2094","$242,120"
"6/1/2009","140 Evening","3482","$308,785"
"5/31/2009","273 Midday","1759","$140,960"
"5/31/2009","132 Evening","12094","$858,840"
"5/30/2009","667 Midday","980","$175,320"
"5/30/2009","545 Evening","1405","$248,450"
"5/29/2009","753 Midday","4579","$478,750"
"5/29/2009","144 Evening","3226","$552,305"
"5/28/2009","637 Midday","2059","$211,335"
"5/28/2009","311 Evening","5256","$1,137,195"
"5/27/2009","767 Midday","902","$162,350"
"5/27/2009","997 Evening","1074","$184,715"
"5/26/2009","512 Midday","3288","$351,375"
"5/26/2009","385 Evening","2529","$253,195"
"5/25/2009","012 Midday","3556","$243,020"
"5/25/2009","438 Evening","1374","$136,305"
"5/24/2009","602 Midday","1024","$85,605"
"5/24/2009","918 Evening","2529","$249,215"
"5/23/2009","248 Midday","3390","$335,800"
"5/23/2009","186 Evening","2914","$244,330"
"5/22/2009","506 Midday","1434","$147,215"
"5/22/2009","193 Evening","3661","$273,160"
"5/21/2009","792 Midday","2684","$217,130"
"5/21/2009","921 Evening","5062","$498,330"
"5/20/2009","173 Midday","4302","$349,075"
"5/20/2009","235 Evening","5053","$574,225"
"5/19/2009","208 Midday","2855","$331,795"
"5/19/2009","671 Evening","2869","$227,465"
"5/18/2009","283 Midday","2408","$186,365"
"5/18/2009","760 Evening","2143","$177,505"
"5/17/2009","897 Midday","2832","$226,315"
"5/17/2009","814 Evening","2528","$311,685"
"5/16/2009","678 Midday","3366","$437,170"
"5/16/2009","463 Evening","2526","$224,980"
"5/15/2009","980 Midday","1599","$117,585"
"5/15/2009","801 Evening","5576","$539,020"
"5/14/2009","145 Midday","5779","$481,625"
"5/14/2009","425 Evening","3739","$431,130"
"5/13/2009","064 Midday","2367","$181,575"
"5/13/2009","120 Evening","6104","$673,195"
"5/12/2009","526 Midday","1992","$247,785"
"5/12/2009","711 Evening","5684","$1,230,580"
"5/11/2009","026 Midday","1851","$129,565"
"5/11/2009","870 Evening","2538","$213,695"
"5/10/2009","895 Midday","1467","$138,950"
"5/10/2009","560 Evening","2040","$170,300"
"5/9/2009","581 Midday","4595","$408,110"
"5/9/2009","098 Evening","3464","$229,635"
"5/8/2009","537 Midday","5652","$511,690"
"5/8/2009","348 Evening","2944","$317,990"
"5/7/2009","176 Midday","4057","$395,610"
"5/7/2009","528 Evening","3118","$380,425"
"5/6/2009","601 Midday","3021","$263,355"
"5/6/2009","562 Evening","3413","$279,890"
"5/5/2009","196 Midday","2237","$185,480"
"5/5/2009","298 Evening","2275","$214,375"
"5/4/2009","633 Midday","1643","$271,245"
"5/4/2009","558 Evening","1390","$230,165"
"5/3/2009","036 Midday","1141","$80,245"
"5/3/2009","517 Evening","2581","$332,770"
"5/2/2009","512 Midday","5605","$641,590"
"5/2/2009","931 Evening","4415","$383,570"
"5/1/2009","930 Midday","2835","$281,075"
"5/1/2009","677 Evening","1357","$222,180"
"4/30/2009","211 Midday","8302","$1,679,185"
"4/30/2009","951 Evening","3558","$280,970"
"4/29/2009","205 Midday","3003","$331,005"
"4/29/2009","077 Evening","1110","$148,385"
"4/28/2009","163 Midday","4276","$350,485"
"4/28/2009","524 Evening","3627","$383,260"
"4/27/2009","725 Midday","4076","$502,925"
"4/27/2009","017 Evening","3918","$279,545"
"4/26/2009","094 Midday","892","$63,765"
"4/26/2009","766 Evening","1265","$213,225"
"4/25/2009","388 Midday","1257","$215,620"
"4/25/2009","976 Evening","5238","$485,175"
"4/24/2009","606 Midday","950","$182,990"
"4/24/2009","911 Evening","3908","$874,980"
"4/23/2009","328 Midday","3287","$434,460"
"4/23/2009","873 Evening","3769","$395,835"
"4/22/2009","687 Midday","3218","$264,655"
"4/22/2009","823 Evening","3516","$356,560"
"4/21/2009","583 Midday","2196","$192,015"
"4/21/2009","489 Evening","1536","$163,070"
"4/20/2009","114 Midday","3815","$725,085"
"4/20/2009","674 Evening","2877","$256,640"
"4/19/2009","053 Midday","861","$66,615"
"4/19/2009","392 Evening","2698","$217,260"
"4/18/2009","151 Midday","3946","$655,990"
"4/18/2009","157 Evening","3803","$336,405"
"4/17/2009","709 Midday","2911","$346,085"
"4/17/2009","333 Evening","12351","$4,451,500"
"4/16/2009","300 Midday","1504","$310,925"
"4/16/2009","922 Evening","1960","$342,745"
"4/15/2009","695 Midday","1897","$160,850"
"4/15/2009","221 Evening","4418","$762,595"
"4/14/2009","104 Midday","4079","$462,470"
"4/14/2009","129 Evening","4310","$442,195"
"4/13/2009","353 Midday","857","$142,430"
"4/13/2009","801 Evening","4164","$404,905"
"4/12/2009","769 Evening","8259","$1,049,785"
"4/11/2009","395 Midday","2072","$172,340"
"4/11/2009","606 Evening","1649","$365,275"
"4/10/2009","763 Midday","3383","$309,945"
"4/10/2009","258 Evening","3318","$381,220"
"4/9/2009","879 Midday","4432","$365,215"
"4/9/2009","809 Evening","3934","$408,585"
"4/8/2009","775 Midday","809","$127,575"
"4/8/2009","615 Evening","3605","$423,725"
"4/7/2009","133 Midday","3274","$517,240"
"4/7/2009","418 Evening","2836","$342,615"
"4/6/2009","034 Midday","3948","$325,900"
"4/6/2009","551 Evening","2679","$453,195"
"4/5/2009","306 Evening","3161","$372,655"
"4/4/2009","204 Midday","4443","$460,990"
"4/4/2009","407 Evening","3071","$352,295"
"4/3/2009","072 Midday","2471","$172,890"
"4/3/2009","224 Evening","4333","$948,055"
"4/2/2009","216 Midday","3838","$419,395"
"4/2/2009","877 Evening","1163","$179,125"
"4/1/2009","344 Midday","1637","$291,725"
"4/1/2009","054 Evening","3312","$265,345"
"3/31/2009","230 Midday","3094","$273,440"
"3/31/2009","544 Evening","1746","$271,810"
"3/30/2009","191 Midday","3903","$594,005"
"3/30/2009","557 Evening","1609","$289,115"
"3/29/2009","110 Evening","7216","$1,524,960"
"3/28/2009","799 Midday","817","$137,160"
"3/28/2009","299 Evening","1639","$295,425"
