
"Date", "Numbers", "Winners", "Total Payout"
"6/18/2009","9977 Midday","210","$135,700"
"6/18/2009","4297 Evening","608","$105,300"
"6/17/2009","2726 Midday","194","$72,500"
"6/17/2009","5169 Evening","909","$113,300"
"6/16/2009","1875 Midday","363","$135,000"
"6/16/2009","1033 Evening","529","$250,400"
"6/15/2009","9705 Midday","170","$40,100"
"6/15/2009","0235 Evening","461","$60,200"
"6/14/2009","0837 Midday","134","$14,800"
"6/14/2009","4361 Evening","412","$115,300"
"6/13/2009","2643 Midday","368","$54,200"
"6/13/2009","9746 Evening","380","$62,200"
"6/12/2009","9971 Midday","324","$78,200"
"6/12/2009","8686 Evening","318","$206,700"
"6/11/2009","9486 Midday","210","$33,900"
"6/11/2009","7024 Evening","476","$65,500"
"6/10/2009","3319 Midday","301","$129,300"
"6/10/2009","7683 Evening","352","$74,000"
"6/9/2009","6625 Midday","194","$59,800"
"6/9/2009","6632 Evening","224","$69,400"
"6/8/2009","7943 Midday","272","$56,700"
"6/8/2009","2565 Evening","197","$74,300"
"6/7/2009","3515 Midday","148","$64,800"
"6/7/2009","7263 Evening","478","$177,400"
"6/6/2009","7168 Midday","252","$46,000"
"6/6/2009","2816 Evening","712","$120,500"
"6/5/2009","0293 Midday","431","$70,500"
"6/5/2009","7299 Evening","322","$98,400"
"6/4/2009","8636 Midday","97","$30,400"
"6/4/2009","3154 Evening","533","$92,900"
"6/3/2009","6345 Midday","570","$105,100"
"6/3/2009","4739 Evening","435","$84,000"
"6/2/2009","2034 Midday","350","$51,200"
"6/2/2009","5880 Evening","183","$98,000"
"6/1/2009","4907 Midday","194","$45,300"
"6/1/2009","2697 Evening","386","$72,000"
"5/31/2009","4367 Midday","239","$84,400"
"5/31/2009","3914 Evening","940","$138,600"
"5/30/2009","8747 Midday","120","$39,900"
"5/30/2009","6587 Evening","741","$124,000"
"5/29/2009","6932 Midday","273","$43,400"
"5/29/2009","4361 Evening","609","$178,700"
"5/28/2009","0383 Midday","140","$32,300"
"5/28/2009","2767 Evening","253","$131,600"
"5/27/2009","3288 Midday","139","$47,700"
"5/27/2009","1809 Evening","790","$139,900"
"5/26/2009","0626 Midday","161","$55,700"
"5/26/2009","4640 Evening","178","$65,300"
"5/25/2009","5417 Midday","229","$43,900"
"5/25/2009","2368 Evening","395","$94,700"
"5/24/2009","6113 Midday","209","$60,400"
"5/24/2009","4737 Evening","163","$65,100"
"5/23/2009","1566 Midday","149","$61,000"
"5/23/2009","2622 Evening","180","$171,200"
"5/22/2009","4841 Midday","213","$79,000"
"5/22/2009","7055 Evening","240","$90,000"
