
"Draw Date", "Draw Result"
"6/17/2009","01-10-15-20-29-39 FB = 18"
"6/13/2009","05-14-15-22-31-36 FB = 18"
"6/10/2009","03-06-07-10-19-42 FB = 26"
"6/6/2009","09-20-28-37-39-40 FB = 14"
"6/3/2009","11-19-24-28-31-41 FB = 37"
"5/30/2009","06-14-20-22-31-32 FB = 08"
"5/27/2009","06-08-22-24-27-32 FB = 05"
"5/23/2009","24-27-34-39-40-41 FB = 04"
"5/20/2009","10-16-18-31-32-40 FB = 04"
"5/16/2009","12-25-27-35-36-40 FB = 06"
"5/13/2009","03-13-17-18-22-35 FB = 11"
"5/9/2009","17-25-27-33-40-41 FB = 18"
"5/6/2009","16-19-20-30-36-39 FB = 25"
"5/2/2009","13-14-19-28-29-40 FB = 35"
"4/29/2009","06-11-15-24-32-39 FB = 38"
"4/25/2009","05-06-14-17-34-38 FB = 12"
"4/22/2009","10-13-16-29-31-42 FB = 26"
"4/18/2009","03-10-14-17-29-38 FB = 42"
"4/15/2009","03-07-13-20-24-41 FB = 42"
"4/11/2009","04-14-15-29-30-37 FB = 38"
"4/8/2009","11-12-21-22-40-42 FB = 24"
"4/4/2009","02-03-07-11-19-24 FB = 29"
"4/1/2009","08-09-11-15-21-32 FB = 04"
"3/28/2009","05-11-26-30-39-42 FB = 34"
"3/25/2009","01-07-16-18-32-37 FB = 14"
"3/21/2009","09-13-15-30-36-37 FB = 41"
"3/18/2009","01-04-16-18-21-37 FB = 26"
"3/14/2009","05-08-09-29-40-42 FB = 16"
"3/11/2009","16-32-33-36-40-41 FB = 17"
"3/7/2009","10-19-22-29-31-35 FB = 13"
"3/4/2009","09-12-18-33-41-42 FB = 01"
"2/28/2009","05-09-14-20-34-42 FB = 36"
"2/25/2009","06-08-11-21-25-41 FB = 28"
"2/21/2009","04-05-06-11-24-34 FB = 17"
"2/18/2009","09-11-18-21-24-37 FB = 39"
"2/14/2009","19-26-29-34-36-42 FB = 23"
"2/11/2009","07-11-15-19-32-38 FB = 01"
"2/7/2009","14-18-19-24-26-27 FB = 30"
"2/4/2009","05-12-20-22-34-40 FB = 37"
"1/31/2009","16-21-23-27-32-41 FB = 13"
